attack,iteration,distance,space,norm_p,time,query_num,query_max,image,orig_label,adv_label,acc
geoda,0,l2,sub,18.070456,0.5883734226226807,101,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,60,0.4935064935064935
geoda,1,l2,sub,14.035217,0.7488737106323242,231,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,60,0.4537037037037037
geoda,2,l2,sub,9.242751,1.0539424419403076,406,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,750,0.5197368421052632
geoda,3,l2,sub,7.461715,1.4671781063079834,642,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,750,0.43661971830985913
geoda,4,l2,sub,5.3823876,2.2079975605010986,965,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,750,0.5266666666666666
geoda,0,l2,sub,23.570028,0.8444993495941162,101,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,331,0.5324675324675324
geoda,1,l2,sub,14.789001,1.006761074066162,231,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,331,0.5277777777777778
geoda,2,l2,sub,11.0088825,1.1421751976013184,406,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,331,0.46710526315789475
geoda,3,l2,sub,8.501628,1.3662285804748535,642,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,331,0.5258215962441315
geoda,4,l2,sub,7.1328173,2.0250749588012695,965,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,331,0.5166666666666667
geoda,0,l2,sub,26.448538,0.5894379615783691,101,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.4805194805194805
geoda,1,l2,sub,17.065786,0.7468879222869873,231,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.49074074074074076
geoda,2,l2,sub,11.958867,1.02805495262146,406,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.4342105263157895
geoda,3,l2,sub,8.548571,1.4705677032470703,642,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.4835680751173709
geoda,4,l2,sub,6.664883,2.6761817932128906,965,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.49333333333333335
geoda,0,l2,sub,23.580648,0.5799992084503174,101,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00014512.JPEG,431,697,0.5194805194805194
geoda,1,l2,sub,17.693596,0.7382102012634277,231,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00014512.JPEG,431,697,0.5185185185185185
geoda,2,l2,sub,13.610916,1.0220093727111816,406,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00014512.JPEG,431,697,0.5394736842105263
geoda,3,l2,sub,10.497642,1.3223111629486084,642,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00014512.JPEG,431,697,0.47417840375586856
geoda,4,l2,sub,8.659755,1.9945571422576904,965,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00014512.JPEG,431,697,0.4766666666666667
geoda,0,l2,sub,33.545254,0.5969111919403076,102,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,34,0.4675324675324675
geoda,1,l2,sub,24.885408,0.7799973487854004,234,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,824,0.5277777777777778
geoda,2,l2,sub,11.282611,1.0931618213653564,409,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,636,0.4934210526315789
geoda,3,l2,sub,6.656178,1.9763643741607666,645,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,636,0.4225352112676056
geoda,4,l2,sub,4.887802,2.6891427040100098,968,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,636,0.5066666666666667
geoda,0,l2,sub,24.383644,0.6117773056030273,101,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,191,0.4675324675324675
geoda,1,l2,sub,19.973478,0.7671670913696289,231,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,342,0.5092592592592593
geoda,2,l2,sub,15.440331,1.0642883777618408,406,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,350,0.5328947368421053
geoda,3,l2,sub,11.707648,1.4135658740997314,642,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,331,0.49765258215962443
geoda,4,l2,sub,9.410285,1.9795053005218506,965,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,331,0.48333333333333334
geoda,0,l2,sub,34.336037,0.8657143115997314,103,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,994,0.5064935064935064
geoda,1,l2,sub,24.073063,1.0704443454742432,235,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.5462962962962963
geoda,2,l2,sub,14.26716,1.4222464561462402,410,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.5197368421052632
geoda,3,l2,sub,11.003916,1.4539382457733154,646,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.5070422535211268
geoda,4,l2,sub,8.066484,2.0573055744171143,969,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.48
geoda,0,l2,sub,18.008455,0.5908544063568115,101,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00014512.JPEG,431,697,0.44155844155844154
geoda,1,l2,sub,13.245472,0.785698413848877,231,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00014512.JPEG,431,697,0.5277777777777778
geoda,2,l2,sub,10.478423,1.0602655410766602,406,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00014512.JPEG,431,697,0.42105263157894735
geoda,3,l2,sub,8.765492,1.3976414203643799,642,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00014512.JPEG,431,697,0.4835680751173709
geoda,4,l2,sub,7.584901,2.443575143814087,965,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00014512.JPEG,431,697,0.5066666666666667
geoda,0,l2,sub,25.693964,0.6844420433044434,101,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,641,0.5714285714285714
geoda,1,l2,sub,19.362297,0.7838833332061768,231,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,60,0.6759259259259259
geoda,2,l2,sub,12.805342,1.089712381362915,406,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,60,0.48026315789473684
geoda,3,l2,sub,8.280143,1.431063175201416,642,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,60,0.49295774647887325
geoda,4,l2,sub,6.8006396,2.0436367988586426,965,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00040042.JPEG,630,60,0.5133333333333333
geoda,0,l2,sub,26.355042,0.6056256294250488,101,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,24,0.44155844155844154
geoda,1,l2,sub,21.611042,0.8056704998016357,231,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,24,0.5555555555555556
geoda,2,l2,sub,16.994873,1.0761487483978271,406,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,24,0.4934210526315789
geoda,3,l2,sub,13.971601,1.4091243743896484,642,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,24,0.5070422535211268
geoda,4,l2,sub,12.170627,2.53542160987854,965,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00034332.JPEG,105,24,0.49333333333333335
geoda,0,l2,sub,35.833992,0.7146618366241455,103,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,599,0.4805194805194805
geoda,1,l2,sub,20.191183,0.775179386138916,233,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.49074074074074076
geoda,2,l2,sub,13.754978,1.074216365814209,408,1000,./ILSVRC2012_img_val/ILSVRC2012_val_00007820.JPEG,957,949,0.4407894736842105
